NO,N03_007,N03_001,N03_002,N03_003,N03_004,city_name,枚数合計
2,01102,北海道,石狩振興局,札幌市,札幌市北区,北海道札幌市北区,500
674,13113,東京都,,,渋谷区,東京都渋谷区,400
470,09201,栃木県,,,宇都宮市,栃木県宇都宮市,200
791,15103,新潟県,,新潟市,新潟市中央区,新潟県新潟市中央区,200
1,01101,北海道,石狩振興局,札幌市,札幌市中央区,北海道札幌市中央区,0
3,01103,北海道,石狩振興局,札幌市,札幌市東区,北海道札幌市東区,0
4,01104,北海道,石狩振興局,札幌市,札幌市白石区,北海道札幌市白石区,0
5,01105,北海道,石狩振興局,札幌市,札幌市豊平区,北海道札幌市豊平区,0
6,01106,北海道,石狩振興局,札幌市,札幌市南区,北海道札幌市南区,0
7,01107,北海道,石狩振興局,札幌市,札幌市西区,北海道札幌市西区,0
8,01108,北海道,石狩振興局,札幌市,札幌市厚別区,北海道札幌市厚別区,0
9,01109,北海道,石狩振興局,札幌市,札幌市手稲区,北海道札幌市手稲区,0
10,01110,北海道,石狩振興局,札幌市,札幌市清田区,北海道札幌市清田区,0
11,01202,北海道,渡島総合振興局,,函館市,北海道函館市,0
12,01203,北海道,後志総合振興局,,小樽市,北海道小樽市,0
13,01204,北海道,上川総合振興局,,旭川市,北海道旭川市,0
14,01205,北海道,胆振総合振興局,,室蘭市,北海道室蘭市,0
15,01206,北海道,釧路総合振興局,,釧路市,北海道釧路市,0
16,01207,北海道,十勝総合振興局,,帯広市,北海道帯広市,0
17,01208,北海道,オホーツク総合振興局,,北見市,北海道北見市,0
18,01209,北海道,空知総合振興局,,夕張市,北海道夕張市,0
19,01210,北海道,空知総合振興局,,岩見沢市,北海道岩見沢市,0
20,01211,北海道,オホーツク総合振興局,,網走市,北海道網走市,0
21,01212,北海道,留萌振興局,,留萌市,北海道留萌市,0
22,01213,北海道,胆振総合振興局,,苫小牧市,北海道苫小牧市,0
23,01214,北海道,宗谷総合振興局,,稚内市,北海道稚内市,0
24,01215,北海道,空知総合振興局,,美唄市,北海道美唄市,0
25,01216,北海道,空知総合振興局,,芦別市,北海道芦別市,0
26,01217,北海道,石狩振興局,,江別市,北海道江別市,0
27,01218,北海道,空知総合振興局,,赤平市,北海道赤平市,0
28,01219,北海道,オホーツク総合振興局,,紋別市,北海道紋別市,0
29,01220,北海道,上川総合振興局,,士別市,北海道士別市,0
30,01221,北海道,上川総合振興局,,名寄市,北海道名寄市,0
31,01222,北海道,空知総合振興局,,三笠市,北海道三笠市,0
32,01223,北海道,根室振興局,,根室市,北海道根室市,0
33,01224,北海道,石狩振興局,,千歳市,北海道千歳市,0
34,01225,北海道,空知総合振興局,,滝川市,北海道滝川市,0
35,01226,北海道,空知総合振興局,,砂川市,北海道砂川市,0
36,01227,北海道,空知総合振興局,,歌志内市,北海道歌志内市,0
37,01228,北海道,空知総合振興局,,深川市,北海道深川市,0
38,01229,北海道,上川総合振興局,,富良野市,北海道富良野市,0
39,01230,北海道,胆振総合振興局,,登別市,北海道登別市,0
40,01231,北海道,石狩振興局,,恵庭市,北海道恵庭市,0
41,01233,北海道,胆振総合振興局,,伊達市,北海道伊達市,0
42,01234,北海道,石狩振興局,,北広島市,北海道北広島市,0
43,01235,北海道,石狩振興局,,石狩市,北海道石狩市,0
44,01236,北海道,渡島総合振興局,,北斗市,北海道北斗市,0
45,01303,北海道,石狩振興局,石狩郡,当別町,北海道当別町,0
46,01304,北海道,石狩振興局,石狩郡,新篠津村,北海道新篠津村,0
47,01331,北海道,渡島総合振興局,松前郡,松前町,北海道松前町,0
48,01332,北海道,渡島総合振興局,松前郡,福島町,北海道福島町,0
49,01333,北海道,渡島総合振興局,上磯郡,知内町,北海道知内町,0
50,01334,北海道,渡島総合振興局,上磯郡,木古内町,北海道木古内町,0
51,01337,北海道,渡島総合振興局,亀田郡,七飯町,北海道七飯町,0
52,01343,北海道,渡島総合振興局,茅部郡,鹿部町,北海道鹿部町,0
53,01345,北海道,渡島総合振興局,茅部郡,森町,北海道森町,0
54,01346,北海道,渡島総合振興局,二海郡,八雲町,北海道八雲町,0
55,01347,北海道,渡島総合振興局,山越郡,長万部町,北海道長万部町,0
56,01361,北海道,檜山振興局,檜山郡,江差町,北海道江差町,0
57,01362,北海道,檜山振興局,檜山郡,上ノ国町,北海道上ノ国町,0
58,01363,北海道,檜山振興局,檜山郡,厚沢部町,北海道厚沢部町,0
59,01364,北海道,檜山振興局,爾志郡,乙部町,北海道乙部町,0
60,01367,北海道,檜山振興局,奥尻郡,奥尻町,北海道奥尻町,0
61,01370,北海道,檜山振興局,瀬棚郡,今金町,北海道今金町,0
62,01371,北海道,檜山振興局,久遠郡,せたな町,北海道せたな町,0
63,01391,北海道,後志総合振興局,島牧郡,島牧村,北海道島牧村,0
64,01392,北海道,後志総合振興局,寿都郡,寿都町,北海道寿都町,0
65,01393,北海道,後志総合振興局,寿都郡,黒松内町,北海道黒松内町,0
66,01394,北海道,後志総合振興局,磯谷郡,蘭越町,北海道蘭越町,0
67,01395,北海道,後志総合振興局,虻田郡,ニセコ町,北海道ニセコ町,0
68,01396,北海道,後志総合振興局,虻田郡,真狩村,北海道真狩村,0
69,01397,北海道,後志総合振興局,虻田郡,留寿都村,北海道留寿都村,0
70,01398,北海道,後志総合振興局,虻田郡,喜茂別町,北海道喜茂別町,0
71,01399,北海道,後志総合振興局,虻田郡,京極町,北海道京極町,0
72,01400,北海道,後志総合振興局,虻田郡,倶知安町,北海道倶知安町,0
73,01401,北海道,後志総合振興局,岩内郡,共和町,北海道共和町,0
74,01402,北海道,後志総合振興局,岩内郡,岩内町,北海道岩内町,0
75,01403,北海道,後志総合振興局,古宇郡,泊村,北海道泊村,0
76,01404,北海道,後志総合振興局,古宇郡,神恵内村,北海道神恵内村,0
77,01405,北海道,後志総合振興局,積丹郡,積丹町,北海道積丹町,0
78,01406,北海道,後志総合振興局,古平郡,古平町,北海道古平町,0
79,01407,北海道,後志総合振興局,余市郡,仁木町,北海道仁木町,0
80,01408,北海道,後志総合振興局,余市郡,余市町,北海道余市町,0
81,01409,北海道,後志総合振興局,余市郡,赤井川村,北海道赤井川村,0
82,01423,北海道,空知総合振興局,空知郡,南幌町,北海道南幌町,0
83,01424,北海道,空知総合振興局,空知郡,奈井江町,北海道奈井江町,0
84,01425,北海道,空知総合振興局,空知郡,上砂川町,北海道上砂川町,0
85,01427,北海道,空知総合振興局,夕張郡,由仁町,北海道由仁町,0
86,01428,北海道,空知総合振興局,夕張郡,長沼町,北海道長沼町,0
87,01429,北海道,空知総合振興局,夕張郡,栗山町,北海道栗山町,0
88,01430,北海道,空知総合振興局,樺戸郡,月形町,北海道月形町,0
89,01431,北海道,空知総合振興局,樺戸郡,浦臼町,北海道浦臼町,0
